TORNEO FEDERAL A 2026 — Carga de Resultados,,,,,,,,,,,,,
N° Partido,Fecha,Fase,Día,Zona,Local,GF,GC,Visitante,Resultado,PTS Local,PTS Visit.,Árbitro,Penales
162,10,1F-RR2,,2,Def. Vilelas,,,San Martín (For),,,,,
163,10,1F-RR2,,3,FADEP,,,Costa Brava,,,,,
164,10,1F-RR2,,3,Argentino MM,,,Huracán (LH),,,,,
165,10,1F-RR2,,3,Juv. Unida (SL),,,San Martín (Mdza),,,,,
166,10,1F-RR2,,3,Cipolletti,,,Atenas (RC),,,,,
167,10,1F-RR2,,4,Villa Mitre,,,Kimberley,,,,,
168,10,1F-RR2,,4,Germinal,,,Sol de Mayo,,,,,
169,10,1F-RR2,,4,Santamarina,,,Gmo. Brown,,,,,
170,10,1F-RR2,,4,Alvarado,,,Olimpo,,,,,
171,11,1F-RR2,,1,El Linqueño,,,Def. Villa Ramallo,,,,,
172,11,1F-RR2,,1,Douglas Haig,,,Gimn. Concepción,,,,,
173,11,1F-RR2,,1,Sp. Belgrano,,,Gimn. Chivilcoy,,,,,
174,11,1F-RR2,,1,Independiente (Chi),,,9 de Julio (R),,,,,
175,11,1F-RR2,,1,Sp. Las Parejas,,,Escobar FC,,,,,
176,11,1F-RR2,,2,Tucumán Central,,,Def. Vilelas,,,,,
177,11,1F-RR2,,2,Boca Unidos,,,Bartolomé Mitre,,,,,
178,11,1F-RR2,,2,Sarmiento (R),,,Sarmiento (LB),,,,,
179,11,1F-RR2,,2,Sol de América,,,Juv. Antoniana,,,,,
180,11,1F-RR2,,3,San Martín (Mdza),,,Cipolletti,,,,,
181,11,1F-RR2,,3,Huracán (LH),,,Juv. Unida (SL),,,,,
182,11,1F-RR2,,3,Costa Brava,,,Argentino MM,,,,,
183,11,1F-RR2,,3,Dvo. Rincón,,,FADEP,,,,,
184,11,1F-RR2,,4,Gmo. Brown,,,Alvarado,,,,,
185,11,1F-RR2,,4,Sol de Mayo,,,Santamarina,,,,,
186,11,1F-RR2,,4,Kimberley,,,Germinal,,,,,
187,11,1F-RR2,,4,Círculo Dep.,,,Villa Mitre,,,,,
188,12,1F-RR2,,1,Escobar FC,,,El Linqueño,,,,,
189,12,1F-RR2,,1,9 de Julio (R),,,Sp. Las Parejas,,,,,
